# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_avuncular_model
# start_datetime = 2023-05-12 13:15:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_avuncular_input.json
# random
#   seed = 390320259 (Default)
# output
#   file = model_avuncular_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,age_m_a,birth_date_grandmother,birth_date_sister,age_m_s
# Adaptation terminated
# Step size = 0.285566
# Diagonal elements of inverse mass matrix:
# 35.1691, 33.9261, 0.0197128, 0.0360047, 0.523319, 0.427349
7.71274,0.826691,0.285566,4,15,0,-4.20203,-513.944,-497.55,48.4056,32.5008,17.6289,29.5541,-579.978,-559.605,20.3732
7.71274,0,0.285566,0,1,1,-2.91032,-513.944,-497.55,48.4056,32.5008,17.6289,29.5541,-579.978,-559.605,20.3732
7.87083,0.614529,0.285566,2,4,1,-4.41044,-522.994,-488.724,46.7227,31.3251,16.9692,24.7014,-586.686,-544.75,41.9359
6.85471,0.83261,0.285566,2,6,1,-3.55804,-519.811,-489.819,49.8661,29.3976,21.2091,24.4771,-590.886,-543.694,47.1918
7.36995,0.833333,0.285566,2,6,1,-6.54914,-520.021,-489.813,48.7558,30.1279,22.0875,25.0376,-590.865,-544.979,45.8859
8.51591,0.872938,0.285566,3,8,1,-4.9697,-525.985,-488.437,42.853,37.171,25.9574,26.3836,-594.795,-551.992,42.8032
8.54276,0.99946,0.285566,4,15,0,-6.68578,-517.428,-501.065,48.2552,34.2344,18.4504,27.1721,-584.134,-562.471,21.6623
5.74759,0.934535,0.285566,3,15,0,-3.87439,-519.909,-502.886,51.4758,34.9231,16.4535,19.2055,-587.838,-557.015,30.8235
6.4178,0.969923,0.285566,3,7,0,-3.0698,-513.87,-501.984,46.7603,31.899,16.6857,22.6281,-577.316,-556.511,20.8047
6.75645,0.936072,0.285566,4,15,0,1.71839,-513.296,-490.236,40.7507,32.155,17.3918,19.4263,-571.439,-541.817,29.6218
8.59137,0.734778,0.285566,4,15,0,-4.96448,-534.519,-501.602,40.1656,35.4867,23.2859,40.3504,-597.97,-577.439,20.5311
10.5348,0.976954,0.285566,3,15,0,-7.67485,-524.521,-491.919,44.7383,37.4001,21.7681,34.0618,-591.027,-563.381,27.6459
9.28121,0.982801,0.285566,4,15,0,-8.21069,-531.644,-487.338,38.8025,34.9781,20.0011,35.7801,-590.447,-558.096,32.3511
9.50208,0.990038,0.285566,3,15,0,-5.4924,-521.24,-493.781,33.9098,37.0869,23.6238,26.3786,-578.773,-557.247,21.5263
10.1373,0.907742,0.285566,4,15,0,-7.79739,-523.984,-493.022,43.538,35.3144,17.4605,26.2173,-584.983,-554.554,30.4289
10.1757,0.994524,0.285566,4,15,0,-8.5085,-528.435,-494.716,36.3556,31.452,21.7136,35.7932,-586.504,-561.962,24.5423
10.6988,0.980336,0.285566,3,7,0,-9.66015,-524.327,-494.736,37.8213,36.121,21.1472,27.1372,-583.295,-557.994,25.301
10.3972,0.984678,0.285566,4,15,0,-9.91754,-528.526,-494.909,41.0956,32.5607,20.4331,41.3244,-590.054,-568.794,21.2607
8.21766,0.769324,0.285566,3,7,0,-5.71168,-526.814,-501.788,43.4432,45.4341,19.9619,23.4267,-590.219,-570.649,19.5699
2.67366,0.841295,0.285566,4,15,0,0.124234,-517.206,-486.616,37.5049,29.1498,18.5686,15.3129,-573.279,-531.079,42.2001
5.50633,0.923835,0.285566,3,14,1,-0.201257,-521.755,-501.86,41.6165,38.3133,16.4117,15.8795,-579.783,-556.053,23.7298
8.70647,0.88834,0.285566,3,9,1,-4.16178,-522.111,-499.085,46.8482,35.0625,17.5845,20.8548,-586.543,-555.003,31.5405
9.62536,0.401545,0.285566,4,15,0,-7.38992,-518.451,-493.616,45.2528,31.755,18.4485,28.7172,-582.152,-554.089,28.0635
9.67489,0.992352,0.285566,4,15,0,-6.83352,-530.087,-488.18,37.402,36.9082,21.5227,34.2223,-589.011,-559.311,29.7003
9.82703,0.909022,0.285566,3,15,0,-5.55367,-522.969,-496.237,45.926,33.2147,17.4126,36.841,-586.307,-566.293,20.0141
10.0563,0.954408,0.285566,4,15,0,-9.37674,-525.685,-493.697,46.8197,33.1808,18.5371,31.9668,-591.042,-558.845,32.1972
9.89747,0.99456,0.285566,2,7,0,-6.63362,-522.909,-491.976,34.7671,36.3354,18.7698,25.1518,-576.446,-553.464,22.9823
8.48832,0.984424,0.285566,3,15,0,-7.91288,-521.576,-495.454,33.4398,30.3235,16.9652,23.249,-571.981,-549.026,22.955
9.05057,0.999501,0.285566,4,15,0,-7.03293,-523.508,-491.641,39.0412,31.1231,28.2507,40.6854,-590.8,-563.449,27.3505
10.3232,0.879009,0.285566,3,7,0,-5.99552,-526.669,-494.813,35.3092,34.1032,22.2848,29.9208,-584.263,-558.837,25.4252
8.69274,0.932976,0.285566,4,15,0,-6.86094,-521.142,-494.775,37.579,33.1092,23.4929,19.7888,-582.214,-547.673,34.541
9.20756,0.23951,0.285566,3,15,1,-4.54655,-524.687,-499.381,35.5857,34.4539,26.9015,26.6248,-587.174,-560.46,26.7138
9.42314,0.988682,0.285566,4,15,0,-5.95304,-526.937,-493.54,46.8545,36.0722,16.2953,34.9345,-590.087,-564.547,25.5402
9.69917,0.777942,0.285566,4,15,0,-3.97725,-530.304,-491.051,34.4045,37.5013,19.7173,29.0551,-584.426,-557.608,26.8184
8.33513,0.935113,0.285566,4,15,0,-4.16675,-522.19,-495.145,48.6741,33.7121,15.7118,30.7929,-586.576,-559.65,26.9261
