# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_cousins_model
# start_datetime = 2023-05-12 13:28:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_cousins_input.json
# random
#   seed = 391094460 (Default)
# output
#   file = model_cousins_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,age_m_a,age_m2_h,birth_date_grandmother,age_m2_a
# Adaptation terminated
# Step size = 0.358958
# Diagonal elements of inverse mass matrix:
# 36.5644, 35.1106, 0.0229314, 0.0255476, 0.481555, 0.359001, 0.48312
9.85508,0.957489,0.358958,2,7,0,-6.15314,-524.104,-497.661,39.4134,31.5976,19.2122,43.1546,18.2759,-601.006,28.5918
9.85508,0,0.358958,0,1,1,-6.5945,-524.104,-497.661,39.4134,31.5976,19.2122,43.1546,18.2759,-601.006,28.5918
9.49665,0.956438,0.358958,3,15,0,-6.67197,-522.243,-499.867,37.9506,33.8802,21.0902,42.2366,17.4374,-598.721,22.7369
9.06985,0.801643,0.358958,3,15,0,-7.48086,-525.436,-493.876,42.753,40.8587,18.1916,28.2203,17.9424,-604.323,41.3676
7.55039,0.926326,0.358958,3,7,0,-3.23892,-516.773,-493.549,31.8993,40.6018,22.7832,27.6228,23.2029,-594.658,32.8846
4.10515,0.684935,0.358958,2,4,1,-0.837619,-520.748,-482.666,31.935,38.2901,18.8981,24.283,26.7075,-598.288,53.0492
7.21786,0.988129,0.358958,3,7,0,-1.21416,-516.64,-494.793,36.5277,31.9793,24.0247,50.8556,17.6775,-594.87,17.2414
4.0693,0.842195,0.358958,3,7,0,-2.5192,-520.567,-500.96,36.3593,23.9189,20.1227,29.5411,30.3531,-607.402,52.9822
4.59381,0.964225,0.358958,3,7,0,-0.714764,-521.788,-501.134,40.8295,21.6694,17.7649,26.3298,16.6467,-597.029,47.8961
4.92259,0.799565,0.358958,2,5,1,-1.53297,-523.582,-501.709,38.0113,22.0798,18.7332,29.6772,16.0232,-596.35,42.8837
6.40985,0.427972,0.358958,4,15,0,-2.98212,-519.535,-498.938,40.0765,25.6279,19.7174,39.3885,15.5027,-594.832,30.8776
4.26807,0.979468,0.358958,3,15,0,-2.06687,-525.995,-503.542,34.344,30.9802,23.0327,36.5575,14.7377,-598.109,27.0297
4.48804,0.982484,0.358958,3,15,0,-1.40858,-521.274,-504.192,46.3407,32.6494,18.0913,28.605,14.8419,-600.548,35.1015
6.27555,0.906625,0.358958,3,12,1,-1.97255,-521.381,-491.573,32.8176,44.5652,19.3271,18.7942,19.5488,-593.075,38.1427
6.40198,0.792641,0.358958,2,5,1,-2.38277,-519.107,-490.022,30.1849,45.2189,19.5565,26.1629,23.6932,-592.542,31.1386
4.97675,0.24618,0.358958,3,15,0,1.71152,-523.593,-481.546,34.3045,35.2201,19.668,40.1663,27.8376,-605.403,48.471
6.38323,0.998029,0.358958,4,15,0,-1.91291,-518.418,-507.171,37.7464,35.1808,24.1261,24.205,16.7924,-597.083,30.5258
6.71663,0.491971,0.358958,3,7,0,-3.40527,-524.133,-503.078,43.4122,35.5939,26.7272,23.3224,18.8613,-613.134,51.1394
8.27078,0.666667,0.358958,1,3,1,-3.87948,-524.853,-504.626,41.5112,38.9364,22.8969,26.0053,19.5728,-608.834,39.2665
7.45272,0.969293,0.358958,3,7,0,-6.45002,-524.535,-504.017,43.6289,39.4773,25.8477,26.6681,20.4861,-614.497,44.3351
7.647,0.855158,0.358958,3,7,0,-5.86286,-521.009,-506.727,43.7166,36.9992,25.2679,32.8092,18.9398,-608.934,32.3984
5.0039,0.969452,0.358958,4,15,0,-2.59792,-518.605,-479.701,38.4382,38.3312,16.766,55.6579,20.779,-594.588,20.898
5.83579,0.992431,0.358958,3,7,0,-3.21839,-517.999,-480.926,40.4695,38.6967,17.3055,34.7399,17.5612,-593.335,38.9731
