# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-04-03 09:43:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 1302950853 (Default)
# output
#   file = full_sibs_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_mother,mother_age_hochdorf,mother_age_asperg,age_hochdorf,age_asperg,burial_date_hochdorf,burial_date_asperg
# Adaptation terminated
# Step size = 0.323693
# Diagonal elements of inverse mass matrix:
# 261.07, 0.752545, 0.123158, 0.0555211, 0.0852692
11.3889,1,0.323693,3,7,0,-7.56235,-588.104,23.5901,46.851,45.1867,24.9209,-519.327,-516.332
12.4567,0.950311,0.323693,3,7,0,-9.71163,-583.688,26.0077,39.8622,43.9212,44.2073,-513.759,-499.618
11.4561,0.983997,0.323693,3,7,0,-10.3608,-594.249,21.2427,62.8873,52.1943,36.9834,-520.812,-494.378
10.35,0.933071,0.323693,3,7,0,-9.41104,-592.127,41.317,28.689,39.2628,41.7859,-511.547,-521.652
10.7939,1,0.323693,3,7,0,-9.08258,-588.406,29.1625,61.5388,34.2886,44.5384,-524.955,-482.329
10.8633,0.981593,0.323693,3,15,0,-8.25786,-572.672,25.8891,38.4421,30.1812,24.8516,-516.601,-509.378
11.3252,0.97908,0.323693,4,15,0,-9.75294,-582.277,31.0137,39.4177,28.7264,32.2665,-522.537,-510.592
11.5793,0.985792,0.323693,3,7,0,-10.7648,-573.453,25.5549,36.8223,28.3856,36.5705,-519.512,-500.06
10.8264,0.983283,0.323693,4,15,0,-10.0858,-591.425,30.4452,50.192,26.3058,38.8568,-534.674,-502.377
11.4936,0.998235,0.323693,3,15,0,-10.099,-568.729,20.739,35.1163,29.4285,36.6179,-518.561,-496.995
10.2686,0.919789,0.323693,3,7,0,-8.82049,-580.758,32.9242,28.2251,29.2256,49.5481,-518.608,-502.985
8.97076,0.755515,0.323693,3,7,0,-7.38345,-580.599,34.8335,32.9222,30.9007,58.2669,-514.864,-489.41
10.6063,0.964071,0.323693,3,7,0,-6.81775,-594.126,23.3193,54.0647,57.7551,28.1166,-513.052,-511.945
11.6936,0.951113,0.323693,3,7,0,-9.16612,-593.972,21.0208,49.4232,39.4965,47.0997,-533.455,-497.45
9.82257,0.892324,0.323693,3,7,0,-8.57908,-583.437,33.8336,34.2322,42.4062,24.1493,-507.197,-525.056
11.104,1,0.323693,3,7,0,-8.53757,-572.847,11.0168,44.0888,52.2528,33.8316,-509.577,-494.927
11.3661,0.934708,0.323693,3,7,0,-9.4112,-586.381,18.5309,31.1681,39.8118,39.6324,-528.039,-515.581
11.5593,0.992171,0.323693,3,7,0,-9.73578,-576.041,11.843,47.2149,41.292,41.1469,-522.906,-487.679
8.18146,0.942168,0.323693,3,15,0,-6.53974,-608.967,16.8511,65.9057,61.7516,26.7658,-530.365,-516.296
11.15,0.906864,0.323693,3,7,0,-4.73175,-581.367,17.93,48.7108,37.9374,23.5389,-525.499,-509.117
9.52698,0.92977,0.323693,3,7,0,-9.07955,-584.905,13.9195,46.4294,43.6211,56.1443,-527.364,-482.331
9.91619,0.983081,0.323693,3,15,0,-8.08728,-578.079,13.9188,41.5118,42.506,54.48,-521.655,-482.088
8.79709,0.999123,0.323693,3,7,0,-6.54318,-577.002,11.0691,24.5004,58.6215,39.7999,-507.312,-512.702
9.02091,0.94202,0.323693,4,15,0,-6.34771,-571.732,11.9703,36.0633,61.367,36.6718,-498.395,-498.997
11.6853,1,0.323693,2,7,0,-7.5077,-591.66,14.1542,42.7624,48.5084,39.122,-528.997,-509.775
11.1777,0.858279,0.323693,2,7,0,-6.7223,-589.538,41.6322,36.3314,32.5575,42.634,-515.348,-510.572
11.7206,0.541611,0.323693,3,7,0,-9.23648,-591.768,13.6245,48.8189,45.8469,40.93,-532.296,-502.019
11.9485,0.988284,0.323693,3,7,0,-9.8704,-580.751,26.7298,38.6079,41.505,29.2766,-512.516,-512.866
9.45806,0.86849,0.323693,3,7,0,-8.10434,-589.152,15.2461,55.4556,33.8009,49.2509,-540.105,-484.445
10.0357,0.999507,0.323693,3,7,0,-8.95121,-585.994,21.5138,36.253,51.1848,25.3624,-513.296,-524.379
11.2799,0.994836,0.323693,3,15,0,-8.93792,-602.25,31.4427,43.4813,35.6756,46.2549,-535.131,-512.513
