# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-03-21 21:31:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 222271579 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_a,age_a,birth_date_h,age_h,birth_date_m,birth_age_mother_h,birth_age_mother_a
# Adaptation terminated
# Step size = 0.165237
# Diagonal elements of inverse mass matrix:
# 236.62, 0.0786845, 242.427, 0.055143, 242.786
3.19899,0.992689,0.165237,4,15,0,-2.86761,-551.567,14.9033,-555.016,44.98,-582.175,27.1597,30.6082
1.85239,0.85949,0.165237,5,31,0,0.320884,-527.994,27.9152,-525.652,35.3265,-562.024,36.3724,34.0301
1.61029,0.999369,0.165237,4,15,0,-0.40539,-529.758,13.7112,-529.696,47.4075,-557.018,27.3224,27.2604
1.66161,0.972612,0.165237,5,31,0,0.489057,-539.795,19.8957,-535.116,28.433,-564.673,29.5572,24.878
0.918033,0.926767,0.165237,2,7,0,0.0703886,-538.209,20.1249,-538.019,28.1225,-563.073,25.0542,24.8644
2.88198,0.922287,0.165237,2,3,0,0.169716,-534.518,19.9459,-540.673,29.0581,-567.462,26.7887,32.9436
2.71175,0.879084,0.165237,3,15,0,2.81152,-535.187,21.1676,-531.566,50.2038,-560.692,29.1258,25.505
3.4951,0.99865,0.165237,2,7,0,-2.0855,-531.728,21.3199,-532.529,51.1218,-560.918,28.3893,29.1906
4.08028,0.999895,0.165237,4,15,0,-3.22224,-534.543,18.8789,-539.559,42.6788,-565.967,26.4075,31.4235
1.64014,0.881101,0.165237,4,27,0,0.924317,-547.804,27.8346,-548.376,57.8716,-573.629,25.2533,25.8254
3.39159,0.978148,0.165237,4,15,0,0.923981,-541.334,23.1193,-540.133,30.019,-571.413,31.2805,30.079
1.07543,0.972563,0.165237,4,31,0,-0.519498,-531.554,23.784,-524.903,24.4049,-560.315,35.4122,28.7617
1.24447,0.98294,0.165237,5,31,0,0.267794,-555.315,20.6098,-567.487,66.5354,-590.815,23.3276,35.5004
2.60475,0.990755,0.165237,4,15,0,-0.33352,-560.725,23.5936,-562.639,30.5203,-594.134,31.4956,33.4088
4.36401,0.965659,0.165237,4,31,0,-2.01812,-556.611,20.3418,-557.142,45.1095,-585.977,28.8347,29.3651
1.18576,0.946265,0.165237,3,11,0,1.08393,-563.428,16.392,-555.26,37.3322,-593.678,38.4186,30.2501
1.19244,0.996145,0.165237,4,23,0,1.7962,-535.371,13.6583,-548.495,55.8881,-573.725,25.2301,38.3535
1.49933,0.964874,0.165237,5,31,0,1.06728,-551.285,19.8295,-564.304,32.2634,-588.25,23.9466,36.9651
1.6665,0.993888,0.165237,3,7,0,-0.678094,-552.387,19.2705,-561.761,30.9073,-591.535,29.7745,39.1487
3.59005,0.929663,0.165237,4,15,0,-0.0170231,-554.589,25.1305,-551.685,36.0978,-587.013,35.3287,32.4241
4.14688,0.848119,0.165237,4,15,0,0.349799,-543.638,18.2272,-542.905,49.5051,-576.235,33.3302,32.5968
2.14376,0.978323,0.165237,4,15,0,-1.08834,-524.107,28.4767,-530.083,37.4708,-555.768,25.6844,31.6603
2.87929,0.932135,0.165237,4,15,0,-0.222549,-523.136,23.6607,-521.583,41.7083,-556.03,34.4469,32.8938
2.67396,0.99407,0.165237,4,31,0,-0.445602,-535.741,20.373,-535.043,27.3352,-568.662,33.6193,32.9209
2.36515,0.924495,0.165237,4,23,0,0.222783,-545.906,22.7202,-548.702,64.7156,-576.413,27.7112,30.5068
3.02164,0.921193,0.165237,4,15,0,0.289535,-536.801,17.1751,-540.088,31.6758,-572.156,32.068,35.3548
2.15018,0.855941,0.165237,4,27,0,2.09783,-552.393,22.4656,-565.803,36.005,-589.142,23.3382,36.7483
3.21458,0.95703,0.165237,4,31,0,2.14007,-551.712,17.0975,-547.816,37.7087,-583.01,35.1945,31.2982
3.93873,0.991628,0.165237,3,15,0,-2.6569,-550.6,18.851,-550.534,38.5847,-579.58,29.0461,28.9801
2.64511,0.93908,0.165237,4,31,0,-1.73518,-534.624,24.7496,-526.663,44.2586,-562.336,35.6725,27.7117
3.61917,0.988054,0.165237,3,7,0,-1.76106,-528.945,23.9253,-527.542,45.2265,-558.765,31.2224,29.8195
2.38587,0.859923,0.165237,4,15,0,-1.51518,-529.517,23.1866,-527.375,46.5794,-555.008,27.633,25.4909
2.66034,0.890213,0.165237,2,3,0,-0.712031,-525.202,21.2737,-527.14,49.4436,-561.642,34.502,36.4399
1.83878,0.979724,0.165237,4,31,0,-0.792744,-539.736,15.3275,-537.967,33.9441,-565.712,27.7448,25.9756
0.70759,0.98634,0.165237,4,19,0,1.95552,-537.081,10.8713,-539.68,40.8462,-574.699,35.0189,37.6178
0.202191,0.941545,0.165237,4,31,0,0.879878,-529.925,12.294,-532,36.4585,-568.62,36.6206,38.6954
0.985322,0.999147,0.165237,2,7,0,0.703703,-533.714,10.9342,-533.814,35.9317,-562.359,28.5452,28.6455
1.18691,0.997258,0.165237,4,31,0,0.721432,-517.903,13.6809,-524.791,35.6451,-549.731,24.9402,31.8275
3.26659,0.986909,0.165237,4,19,0,-0.131792,-540.496,30.1187,-548.191,46.55,-575.983,27.7929,35.4873
