# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_grandparents_model
# start_datetime = 2023-04-03 18:50:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = model_grandparents_input.json
# init = 2 (Default)
# random
#   seed = 1335803763 (Default)
# output
#   file = model_grandparents_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_hochdorf,age_hochdorf,daughter_age_hochdorf,mother_age_asperg,age_asperg,burial_date_hochdorf,burial_date_asperg
# Adaptation terminated
# Step size = 0.425841
# Diagonal elements of inverse mass matrix:
# 47.6574, 0.0114635, 0.700899, 0.0355465, 0.0425655
10.9138,0.9236,0.425841,3,7,0,-10.3149,-579.077,49.447,42.8778,26.2871,25.8719,-529.63,-484.04
11.4042,0.98067,0.425841,3,15,0,-9.98154,-584.786,49.8825,41.7883,25.6222,30.3535,-534.904,-487.022
8.39271,0.825084,0.425841,3,15,0,-7.5675,-572.91,39.7912,29.4811,31.75,17.5114,-533.119,-494.168
10.9513,1,0.425841,3,7,0,-7.98738,-584.503,49.1504,30.441,24.8538,35.0781,-535.353,-494.13
10.4996,0.94367,0.425841,4,15,0,-8.39592,-574.382,43.3717,28.7014,21.144,32.3602,-531.01,-492.177
7.02576,0.884577,0.425841,3,15,0,-4.71751,-593.25,54.8372,27.5995,41.3839,25.18,-538.413,-499.087
8.1318,0.96007,0.425841,4,15,0,-2.98187,-594.526,55.0355,29.8039,27.9425,41.3072,-539.491,-495.473
9.29333,0.914859,0.425841,3,7,0,-4.78659,-585.294,56.5859,31.9609,28.6231,40.7773,-528.708,-483.933
10.1995,0.978626,0.425841,4,15,0,-6.22966,-568.459,39.4364,30.6418,29.7857,25.1892,-529.022,-482.842
9.94487,0.937052,0.425841,3,7,0,-8.74217,-574.341,39.3594,31.5153,33.7707,26.4089,-534.981,-482.646
11.8836,0.991316,0.425841,3,7,0,-8.48249,-578.407,45.21,35.407,26.0186,28.0978,-533.197,-488.884
11.3586,0.863963,0.425841,3,15,0,-10.4549,-578.778,45.8066,26.04,32.4041,27.1691,-532.972,-493.165
9.14632,0.748813,0.425841,2,7,0,-7.39615,-583.315,55.2531,47.6996,24.0461,29.8163,-528.062,-481.753
8.0421,0.986083,0.425841,3,7,0,-5.57584,-592.27,47.5188,32.669,40.3862,33.4283,-544.752,-485.787
9.08303,0.751897,0.425841,3,7,0,-3.36667,-588.901,60.4504,42.8966,34.9466,24.8614,-528.451,-486.196
9.09493,0.531084,0.425841,4,15,0,-4.63031,-587.156,46.8802,32.8865,35.807,22.134,-540.276,-496.329
10.3167,0.752724,0.425841,3,7,0,-6.69788,-585.928,54.7725,31.2344,27.1494,39.5758,-531.156,-487.969
9.69647,0.992988,0.425841,4,15,0,-7.97892,-571.517,39.5781,36.1843,26.5241,25.8132,-531.939,-482.996
8.87968,0.949396,0.425841,4,15,0,-6.34146,-574.769,48.361,32.645,17.5442,37.9542,-526.408,-486.625
10.4852,0.9998,0.425841,3,7,0,-7.85854,-582.67,52.2333,39.4973,19.9939,32.3313,-530.437,-490.848
9.47469,0.664869,0.425841,4,15,0,-7.11331,-589.085,53.2362,46.5061,22.6149,34.1609,-535.849,-485.803
10.6476,0.999936,0.425841,4,15,0,-8.8947,-573.999,42.5199,37.0979,25.07,24.1002,-531.479,-487.731
10.4586,0.924661,0.425841,4,19,0,-8.46513,-577.199,48.8646,23.1881,25.7596,35.0172,-528.334,-493.234
6.14575,0.885002,0.425841,3,7,0,-3.35837,-597.716,59.3808,55.0897,23.6155,28.642,-538.335,-490.369
